j_name,j_code,j_url,j_big_type,j_small_type
统计研究,TJYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=TJYJ&NaviLink=%e7%bb%9f%e8%ae%a1%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010005%253F%26OrderBy%3didno%7c%e7%bb%9f%e8%ae%a1%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],统计学
统计与信息论坛,TJLT,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=TJLT&NaviLink=%e7%bb%9f%e8%ae%a1%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010005%253F%26OrderBy%3didno%7c%e7%bb%9f%e8%ae%a1%e4%b8%8e%e4%bf%a1%e6%81%af%e8%ae%ba%e5%9d%9b,['综合性人文、社会科学'],统计学
社会学研究,SHXJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=SHXJ&NaviLink=%e7%a4%be%e4%bc%9a%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010006%253F%26OrderBy%3didno%7c%e7%a4%be%e4%bc%9a%e5%ad%a6%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],社会学
社会,SHEH,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=59&BaseID=SHEH&NaviLink=%e7%a4%be%e4%bc%9a%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010006%253F%26OrderBy%3didno%7c%e7%a4%be%e4%bc%9a,['综合性人文、社会科学'],社会学
青年研究,QNYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=QNYJ&NaviLink=%e7%a4%be%e4%bc%9a%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010006%253F%26OrderBy%3didno%7c%e9%9d%92%e5%b9%b4%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],社会学
妇女研究论丛,FNYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=FNYJ&NaviLink=%e7%a4%be%e4%bc%9a%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010006%253F%26OrderBy%3didno%7c%e5%a6%87%e5%a5%b3%e7%a0%94%e7%a9%b6%e8%ae%ba%e4%b8%9b,['综合性人文、社会科学'],社会学
社会保障研究,SHBY,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=SHBY&NaviLink=%e7%a4%be%e4%bc%9a%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010006%253F%26OrderBy%3didno%7c%e7%a4%be%e4%bc%9a%e4%bf%9d%e9%9a%9c%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],社会学
社会学评论,SHPL,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=SHPL&NaviLink=%e7%a4%be%e4%bc%9a%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010006%253F%26OrderBy%3didno%7c%e7%a4%be%e4%bc%9a%e5%ad%a6%e8%af%84%e8%ae%ba,['综合性人文、社会科学'],社会学
人口研究,RKYZ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=RKYZ&NaviLink=%e4%ba%ba%e5%8f%a3%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010007%253F%26OrderBy%3didno%7c%e4%ba%ba%e5%8f%a3%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],人口学
中国人口科学,ZKRK,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZKRK&NaviLink=%e4%ba%ba%e5%8f%a3%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010007%253F%26OrderBy%3didno%7c%e4%b8%ad%e5%9b%bd%e4%ba%ba%e5%8f%a3%e7%a7%91%e5%ad%a6,['综合性人文、社会科学'],人口学
人口学刊,RKXK,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=59&BaseID=RKXK&NaviLink=%e4%ba%ba%e5%8f%a3%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010007%253F%26OrderBy%3didno%7c%e4%ba%ba%e5%8f%a3%e5%ad%a6%e5%88%8a,['综合性人文、社会科学'],人口学
人口与经济,RKJJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=RKJJ&NaviLink=%e4%ba%ba%e5%8f%a3%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010007%253F%26OrderBy%3didno%7c%e4%ba%ba%e5%8f%a3%e4%b8%8e%e7%bb%8f%e6%b5%8e,['综合性人文、社会科学'],人口学
人口与发展,SCRK,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=SCRK&NaviLink=%e4%ba%ba%e5%8f%a3%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010007%253F%26OrderBy%3didno%7c%e4%ba%ba%e5%8f%a3%e4%b8%8e%e5%8f%91%e5%b1%95,['综合性人文、社会科学'],人口学
西北人口,XBRK,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=XBRK&NaviLink=%e4%ba%ba%e5%8f%a3%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010007%253F%26OrderBy%3didno%7c%e8%a5%bf%e5%8c%97%e4%ba%ba%e5%8f%a3,['综合性人文、社会科学'],人口学
中国管理科学,ZGGK,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZGGK&NaviLink=%e7%ae%a1%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010008%253F%26OrderBy%3didno%7c%e4%b8%ad%e5%9b%bd%e7%ae%a1%e7%90%86%e7%a7%91%e5%ad%a6,['综合性人文、社会科学'],管理学
领导科学,LDKI,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=LDKI&NaviLink=%e7%ae%a1%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010008%253F%26OrderBy%3didno%7c%e9%a2%86%e5%af%bc%e7%a7%91%e5%ad%a6,['综合性人文、社会科学'],管理学
管理科学学报,JCYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=JCYJ&NaviLink=%e7%ae%a1%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010008%253F%26OrderBy%3didno%7c%e7%ae%a1%e7%90%86%e7%a7%91%e5%ad%a6%e5%ad%a6%e6%8a%a5,['综合性人文、社会科学'],管理学
管理学报,GLXB,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=GLXB&NaviLink=%e7%ae%a1%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010008%253F%26OrderBy%3didno%7c%e7%ae%a1%e7%90%86%e5%ad%a6%e6%8a%a5,['综合性人文、社会科学'],管理学
管理工程学报,GLGU,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=GLGU&NaviLink=%e7%ae%a1%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010008%253F%26OrderBy%3didno%7c%e7%ae%a1%e7%90%86%e5%b7%a5%e7%a8%8b%e5%ad%a6%e6%8a%a5,['综合性人文、社会科学'],管理学
现代管理科学,XDGL,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=XDGL&NaviLink=%e7%ae%a1%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010008%253F%26OrderBy%3didno%7c%e7%8e%b0%e4%bb%a3%e7%ae%a1%e7%90%86%e7%a7%91%e5%ad%a6,['综合性人文、社会科学'],管理学
中国人力资源开发,ZRZK,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZRZK&NaviLink=%e4%ba%ba%e6%89%8d%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010009%253F%26OrderBy%3didno%7c%e4%b8%ad%e5%9b%bd%e4%ba%ba%e5%8a%9b%e8%b5%84%e6%ba%90%e5%bc%80%e5%8f%91,['综合性人文、社会科学'],人才学
民族研究,MZYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=MZYJ&NaviLink=%e6%b0%91%e6%97%8f%e5%ad%a6%e3%80%81%e4%ba%ba%e7%b1%bb%e6%96%87%e5%8c%96%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010010%253F%26OrderBy%3didno%7c%e6%b0%91%e6%97%8f%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],民族学、人类文化学
世界民族,TRIB,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=TRIB&NaviLink=%e6%b0%91%e6%97%8f%e5%ad%a6%e3%80%81%e4%ba%ba%e7%b1%bb%e6%96%87%e5%8c%96%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010010%253F%26OrderBy%3didno%7c%e4%b8%96%e7%95%8c%e6%b0%91%e6%97%8f,['综合性人文、社会科学'],民族学、人类文化学
贵州民族研究,GZNY,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=GZNY&NaviLink=%e6%b0%91%e6%97%8f%e5%ad%a6%e3%80%81%e4%ba%ba%e7%b1%bb%e6%96%87%e5%8c%96%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010010%253F%26OrderBy%3didno%7c%e8%b4%b5%e5%b7%9e%e6%b0%91%e6%97%8f%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],民族学、人类文化学
